--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
022.623  000.886  000.692: sourcing /home/hellotalk/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
022.627  000.897  000.012: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
022.632  000.002  000.002: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
022.638  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
022.722  000.019  000.019: sourcing /home/hellotalk/.local/share/nvim/lazy/conform.nvim/plugin/conform.lua
022.723  000.030  000.011: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
022.726  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
022.729  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
022.885  000.153  000.153: require('conform')
023.035  000.017  000.017: require('Comment.config')
023.104  000.044  000.044: require('Comment.ft')
023.107  000.071  000.026: require('Comment.utils')
023.176  000.069  000.069: require('Comment.opfunc')
023.192  000.015  000.015: require('Comment.extra')
023.194  000.247  000.075: require('Comment.api')
023.249  000.318  000.071: sourcing /home/hellotalk/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
023.251  000.328  000.010: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.254  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.258  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.285  000.019  000.019: require('Comment')
023.456  000.013  000.013: sourcing /home/hellotalk/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
023.457  000.022  000.009: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.460  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.463  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.560  000.014  000.014: sourcing /home/hellotalk/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
023.561  000.022  000.008: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.564  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.566  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.652  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.655  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.731  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.734  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
023.862  000.015  000.015: require('window-picker.util')
023.863  000.036  000.021: require('window-picker.filters.default-window-filter')
023.881  000.017  000.017: require('window-picker.pickers.window-picker')
023.923  000.017  000.017: require('window-picker.hints.statusline-hint')
023.926  000.044  000.028: require('window-picker.hints.statusline-winbar-hint')
023.942  000.016  000.016: require('window-picker.configurer')
023.943  000.131  000.018: require('window-picker.builder')
023.961  000.017  000.017: require('window-picker.config')
023.961  000.226  000.078: require('window-picker')
024.062  000.024  000.024: sourcing /home/hellotalk/.local/share/nvim/lazy/neo-tree.nvim/plugin/neo-tree.lua
024.064  000.033  000.009: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
024.066  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
